用途,entry,名称,类型,装等,攻速秒,最小伤害,最大伤害,DPS,护甲,插槽数,属性
物理单手（慢速）,47148,雷矛利斧,物理单手武器,245,2.6,357.0,665.0,196.54,,0,攻击强度+78；敏捷+58；耐力+58；急速等级+39；命中等级+39
物理单手（敏捷）,46958,钢铁碎刃短刀,物理单手武器,245,1.4,220.0,330.0,196.43,,0,攻击强度+89；敏捷+58；耐力+58；暴击等级+44；护甲穿透等级+30
物理双手（力量）,47069,公正使者,物理双手武器,245,3.6,736.0,1105.0,255.69,,1,力量+147；耐力+155；暴击等级+90；护甲穿透等级+82
物理双手（敏捷）,47233,执政长刀,物理双手武器,245,3.5,715.0,1074.0,255.57,,1,攻击强度+165；敏捷+128；耐力+136；暴击等级+90；护甲穿透等级+90
法系双手,47968,凝霜,法系双手武器,245,2.1,254.0,469.0,172.14,,2,法术强度+621；耐力+103；智力+120；暴击等级+95；急速等级+128
法系单手,47193,哀难的终结,法系单手武器,245,1.8,97.0,310.0,113.06,,0,法术强度+621；耐力+58；智力+58；急速等级+58；暴击等级+39
远程武器,46994,利爪之击,弓弩枪,245,2.8,495.0,694.0,212.32,,0,攻击强度+57；敏捷+43；耐力+43；急速等级+28；护甲穿透等级+28
布甲头部,47692,燃烬复仇罩帽,布甲/头部,245,,,,,269,2,法术强度+131；耐力+103；智力+103；急速等级+82；命中等级+74
板甲头部,47674,雷霆之怒头盔,板甲/头部,245,,,,,2009,2,力量+131；耐力+155；暴击等级+74；护甲穿透等级+82
板甲坦克头部,47677,荣光面甲,板甲/头部,245,,,,,2009,2,力量+103；耐力+168；防御等级+82；精准等级+69；躲闪等级+74
皮甲胸部,47000,厄运胸甲,皮甲/胸甲,245,,,,,623,2,攻击强度+149；敏捷+120；耐力+136；暴击等级+90；急速等级+90
锁甲胸部,47204,元素流动胸甲,锁甲/胸甲,245,,,,,1384,2,法术强度+140；耐力+103；智力+103；暴击等级+74；每5秒法力回复+45
