"ID","ClassID","SubclassID","Sound_Override_Subclassid","Material","DisplayInfoID","InventoryType","SheatheType"
"920000","4","1","-1","7","44949","1","0"
"920001","4","1","-1","7","50018","1","0"
"920002","4","1","-1","7","50019","1","0"
"920003","4","1","-1","7","50020","1","0"
"920004","4","1","-1","7","50013","3","0"
"920005","4","1","-1","7","50012","3","0"
"920006","4","1","-1","7","50014","3","0"
"920007","4","1","-1","7","50009","3","0"
"920008","4","1","-1","7","48299","20","0"
"920009","4","1","-1","7","48925","20","0"
"920010","4","1","-1","7","48921","20","0"
"920011","4","1","-1","7","48384","20","0"
"920012","4","1","-1","7","48683","6","0"
"920013","4","1","-1","7","48686","6","0"
"920014","4","1","-1","7","48689","6","0"
"920015","4","1","-1","7","48356","6","0"
"920016","4","1","-1","7","48295","7","0"
"920017","4","1","-1","7","48296","7","0"
"920018","4","1","-1","7","48307","7","0"
"920019","4","1","-1","7","49952","7","0"
"920020","4","1","-1","7","48685","8","0"
"920021","4","1","-1","7","48688","8","0"
"920022","4","1","-1","7","48691","8","0"
"920023","4","1","-1","7","48367","8","0"
"920024","4","1","-1","7","48321","9","0"
"920025","4","1","-1","7","48349","9","0"
"920026","4","1","-1","7","48316","9","0"
"920027","4","1","-1","7","48684","9","0"
"920028","4","1","-1","7","48305","10","0"
"920029","4","1","-1","7","48306","10","0"
"920030","4","1","-1","7","48387","10","0"
"920031","4","1","-1","7","48923","10","0"
"920032","4","2","-1","8","45779","1","0"
"920033","4","2","-1","8","45780","1","0"
"920034","4","2","-1","8","48020","1","0"
"920035","4","2","-1","8","48019","1","0"
"920036","4","2","-1","8","47999","3","0"
"920037","4","2","-1","8","48005","3","0"
"920038","4","2","-1","8","48052","3","0"
"920039","4","2","-1","8","48591","3","0"
"920040","4","2","-1","8","48011","20","0"
"920041","4","2","-1","8","48012","20","0"
"920042","4","2","-1","8","48912","20","0"
"920043","4","2","-1","8","48916","20","0"
"920044","4","2","-1","8","48676","6","0"
"920045","4","2","-1","8","48677","6","0"
"920046","4","2","-1","8","48352","6","0"
"920047","4","2","-1","8","48357","6","0"
"920048","4","2","-1","8","47975","7","0"
"920049","4","2","-1","8","47995","7","0"
"920050","4","2","-1","8","48603","7","0"
"920051","4","2","-1","8","48597","7","0"
"920052","4","2","-1","8","48678","8","0"
"920053","4","2","-1","8","48679","8","0"
"920054","4","2","-1","8","48363","8","0"
"920055","4","2","-1","8","48362","8","0"
"920056","4","2","-1","8","48311","9","0"
"920057","4","2","-1","8","48322","9","0"
"920058","4","2","-1","8","48324","9","0"
"920059","4","2","-1","8","48681","9","0"
"920060","4","2","-1","8","48018","10","0"
"920061","4","2","-1","8","48917","10","0"
"920062","4","2","-1","8","48059","10","0"
"920063","4","2","-1","8","49966","10","0"
"920064","4","3","-1","5","53564","1","0"
"920065","4","3","-1","5","48025","1","0"
"920066","4","3","-1","5","48024","1","0"
"920067","4","3","-1","5","45778","1","0"
"920068","4","3","-1","5","47998","3","0"
"920069","4","3","-1","5","48004","3","0"
"920070","4","3","-1","5","48609","3","0"
"920071","4","3","-1","5","48616","3","0"
"920072","4","3","-1","5","48014","20","0"
"920073","4","3","-1","5","48013","20","0"
"920074","4","3","-1","5","48913","20","0"
"920075","4","3","-1","5","48918","20","0"
"920076","4","3","-1","5","48671","6","0"
"920077","4","3","-1","5","48674","6","0"
"920078","4","3","-1","5","48358","6","0"
"920079","4","3","-1","5","48353","6","0"
"920080","4","3","-1","5","47990","7","0"
"920081","4","3","-1","5","47993","7","0"
"920082","4","3","-1","5","48050","7","0"
"920083","4","3","-1","5","48608","7","0"
"920084","4","3","-1","5","48672","8","0"
"920085","4","3","-1","5","48675","8","0"
"920086","4","3","-1","5","48370","8","0"
"920087","4","3","-1","5","48364","8","0"
"920088","4","3","-1","5","48325","9","0"
"920089","4","3","-1","5","48326","9","0"
"920090","4","3","-1","5","48315","9","0"
"920091","4","3","-1","5","48670","9","0"
"920092","4","3","-1","5","48034","10","0"
"920093","4","3","-1","5","48914","10","0"
"920094","4","3","-1","5","48919","10","0"
"920095","4","3","-1","5","48060","10","0"
"920096","4","4","-1","6","43886","1","0"
"920097","4","4","-1","4","45782","1","0"
"920098","4","4","-1","4","48022","1","0"
"920099","4","4","-1","6","48033","1","0"
"920100","4","4","-1","1","50016","3","0"
"920101","4","4","-1","1","50017","3","0"
"920102","4","4","-1","1","50015","3","0"
"920103","4","4","-1","1","50003","3","0"
"920104","4","4","-1","1","48015","5","0"
"920105","4","4","-1","1","48016","5","0"
"920106","4","4","-1","1","48927","5","0"
"920107","4","4","-1","1","48928","5","0"
"920108","4","4","-1","1","48660","6","0"
"920109","4","4","-1","1","48661","6","0"
"920110","4","4","-1","1","48355","6","0"
"920111","4","4","-1","1","48360","6","0"
"920112","4","4","-1","6","47988","7","0"
"920113","4","4","-1","6","47991","7","0"
"920114","4","4","-1","6","48043","7","0"
"920115","4","4","-1","6","48045","7","0"
"920116","4","4","-1","1","48663","8","0"
"920117","4","4","-1","1","48669","8","0"
"920118","4","4","-1","1","48366","8","0"
"920119","4","4","-1","1","48372","8","0"
"920120","4","4","-1","6","48313","9","0"
"920121","4","4","-1","6","48312","9","0"
"920122","4","4","-1","6","48314","9","0"
"920123","4","4","-1","6","48347","9","0"
"920124","4","4","-1","1","48032","10","0"
"920125","4","4","-1","1","48905","10","0"
"920126","4","4","-1","1","48926","10","0"
"920127","4","4","-1","1","48640","10","0"
"920128","4","1","-1","7","43891","1","0"
"920129","4","1","-1","7","50005","1","0"
"920130","4","1","-1","7","50007","1","0"
"920131","4","1","-1","7","50008","1","0"
"920132","4","1","-1","7","50010","3","0"
"920133","4","1","-1","7","50011","3","0"
"920134","4","1","-1","7","45676","3","0"
"920135","4","1","-1","7","45126","3","0"
"920136","4","1","-1","7","49954","20","0"
"920137","4","1","-1","7","49963","20","0"
"920138","4","1","-1","7","49958","20","0"
"920139","4","1","-1","7","48300","20","0"
"920140","4","1","-1","7","48359","6","0"
"920141","4","1","-1","7","48354","6","0"
"920142","4","1","-1","7","47412","6","0"
"920143","4","1","-1","7","47421","6","0"
"920144","4","1","-1","7","49955","7","0"
"920145","4","1","-1","7","49964","7","0"
"920146","4","1","-1","7","49959","7","0"
"920147","4","1","-1","7","45218","7","0"
"920148","4","1","-1","7","48368","8","0"
"920149","4","1","-1","7","48371","8","0"
"920150","4","1","-1","7","48365","8","0"
"920151","4","1","-1","7","47414","8","0"
"920152","4","1","-1","7","48687","9","0"
"920153","4","1","-1","7","48690","9","0"
"920154","4","1","-1","7","45745","9","0"
"920155","4","1","-1","7","45743","9","0"
"920156","4","1","-1","7","48920","10","0"
"920157","4","1","-1","7","48618","10","0"
"920158","4","1","-1","7","49960","10","0"
"920159","4","1","-1","7","49957","10","0"
"920160","4","2","-1","8","48601","1","0"
"920161","4","2","-1","8","48602","1","0"
"920162","4","2","-1","8","48739","1","0"
"920163","4","2","-1","8","52634","1","0"
"920164","4","2","-1","8","48598","3","0"
"920165","4","2","-1","8","45436","3","0"
"920166","4","2","-1","8","45667","3","0"
"920167","4","2","-1","8","46944","3","0"
"920168","4","2","-1","8","48054","20","0"
"920169","4","2","-1","8","48055","20","0"
"920170","4","2","-1","8","49968","20","0"
"920171","4","2","-1","8","48599","20","0"
"920172","4","2","-1","8","47409","6","0"
"920173","4","2","-1","8","47900","6","0"
"920174","4","2","-1","8","45245","6","0"
"920175","4","2","-1","8","45244","6","0"
"920176","4","2","-1","8","45428","7","0"
"920177","4","2","-1","8","45665","7","0"
"920178","4","2","-1","8","45666","7","0"
"920179","4","2","-1","8","46946","7","0"
"920180","4","2","-1","8","48369","8","0"
"920181","4","2","-1","8","47428","8","0"
"920182","4","2","-1","8","47403","8","0"
"920183","4","2","-1","8","45238","8","0"
"920184","4","2","-1","8","48682","9","0"
"920185","4","2","-1","8","45746","9","0"
"920186","4","2","-1","8","45753","9","0"
"920187","4","2","-1","8","47436","9","0"
"920188","4","2","-1","8","49965","10","0"
"920189","4","2","-1","8","48039","10","0"
"920190","4","2","-1","8","45426","10","0"
"920191","4","2","-1","8","45664","10","0"
"920192","4","3","-1","5","45783","1","0"
"920193","4","3","-1","5","48606","1","0"
"920194","4","3","-1","5","48613","1","0"
"920195","4","3","-1","5","48614","1","0"
"920196","4","3","-1","5","45682","3","0"
"920197","4","3","-1","5","45672","3","0"
"920198","4","3","-1","5","46881","3","0"
"920199","4","3","-1","5","46890","3","0"
"920200","4","3","-1","5","48604","20","0"
"920201","4","3","-1","5","49969","20","0"
"920202","4","3","-1","5","46356","20","0"
"920203","4","3","-1","5","45807","20","0"
"920204","4","3","-1","5","47406","6","0"
"920205","4","3","-1","5","47419","6","0"
"920206","4","3","-1","5","45247","6","0"
"920207","4","3","-1","5","45765","6","0"
"920208","4","3","-1","5","48615","7","0"
"920209","4","3","-1","5","45681","7","0"
"920210","4","3","-1","5","45671","7","0"
"920211","4","3","-1","5","46882","7","0"
"920212","4","3","-1","5","47408","8","0"
"920213","4","3","-1","5","47420","8","0"
"920214","4","3","-1","5","45240","8","0"
"920215","4","3","-1","5","45239","8","0"
"920216","4","3","-1","5","48673","9","0"
"920217","4","3","-1","5","45744","9","0"
"920218","4","3","-1","5","45750","9","0"
"920219","4","3","-1","5","45358","9","0"
"920220","4","3","-1","5","48605","10","0"
"920221","4","3","-1","5","48611","10","0"
"920222","4","3","-1","5","48037","10","0"
"920223","4","3","-1","5","45679","10","0"
"920224","4","4","-1","4","48058","1","0"
"920225","4","4","-1","4","48057","1","0"
"920226","4","4","-1","4","48740","1","0"
"920227","4","4","-1","4","49685","1","0"
"920228","4","4","-1","1","49995","3","0"
"920229","4","4","-1","1","45661","3","0"
"920230","4","4","-1","1","45884","3","0"
"920231","4","4","-1","1","46953","3","0"
"920232","4","4","-1","1","48053","5","0"
"920233","4","4","-1","1","50001","5","0"
"920234","4","4","-1","1","49999","5","0"
"920235","4","4","-1","1","46351","5","0"
"920236","4","4","-1","1","48361","6","0"
"920237","4","4","-1","1","47047","6","0"
"920238","4","4","-1","1","47415","6","0"
"920239","4","4","-1","1","48291","6","0"
"920240","4","4","-1","6","50002","7","0"
"920241","4","4","-1","6","49996","7","0"
"920242","4","4","-1","6","46359","7","0"
"920243","4","4","-1","6","45660","7","0"
"920244","4","4","-1","1","44735","8","0"
"920245","4","4","-1","1","47417","8","0"
"920246","4","4","-1","1","29863","8","0"
"920247","4","4","-1","1","45332","8","0"
"920248","4","4","-1","6","48348","9","0"
"920249","4","4","-1","6","48662","9","0"
"920250","4","4","-1","6","48664","9","0"
"920251","4","4","-1","6","29859","9","0"
"920252","4","4","-1","1","49998","10","0"
"920253","4","4","-1","1","48036","10","0"
"920254","4","4","-1","1","45659","10","0"
"920255","4","4","-1","1","45685","10","0"
"920256","4","2","-1","8","45434","1","0"
"920257","4","2","-1","8","45663","1","0"
"920258","4","2","-1","8","48262","1","0"
"920259","4","2","-1","8","48261","1","0"
"920260","4","2","-1","8","46938","3","0"
"920261","4","2","-1","8","45752","3","0"
"920262","4","2","-1","8","45816","3","0"
"920263","4","2","-1","8","45758","3","0"
"920264","4","2","-1","8","46352","5","0"
"920265","4","2","-1","8","45425","5","0"
"920266","4","2","-1","8","45662","5","0"
"920267","4","2","-1","8","46945","5","0"
"920268","4","2","-1","8","45730","6","0"
"920269","4","2","-1","8","45264","6","0"
"920270","4","2","-1","8","48483","6","0"
"920271","4","2","-1","8","42636","6","0"
"920272","4","2","-1","8","46937","7","0"
"920273","4","2","-1","8","45227","7","0"
"920274","4","2","-1","8","45724","7","0"
"920275","4","2","-1","8","48449","7","0"
"920276","4","2","-1","8","45800","8","0"
"920277","4","2","-1","5","45326","8","0"
"920278","4","2","-1","8","45729","8","0"
"920279","4","2","-1","8","45352","8","0"
"920280","4","2","-1","8","45288","9","0"
"920281","4","2","-1","8","45775","9","0"
"920282","4","2","-1","8","45401","9","0"
"920283","4","2","-1","8","47411","9","0"
"920284","4","2","-1","8","46941","10","0"
"920285","4","2","-1","8","46940","10","0"
"920286","4","2","-1","8","45707","10","0"
"920287","4","2","-1","8","45718","10","0"
"920288","4","3","-1","5","45680","1","0"
"920289","4","3","-1","5","45669","1","0"
"920290","4","3","-1","5","47951","1","0"
"920291","4","3","-1","5","46894","1","0"
"920292","4","3","-1","5","41149","3","0"
"920293","4","3","-1","5","45735","3","0"
"920294","4","3","-1","5","45731","3","0"
"920295","4","3","-1","5","45757","3","0"
"920296","4","3","-1","5","45678","5","0"
"920297","4","3","-1","5","45668","5","0"
"920298","4","3","-1","5","46880","5","0"
"920299","4","3","-1","5","46891","5","0"
"920300","4","3","-1","5","45763","6","0"
"920301","4","3","-1","5","45277","6","0"
"920302","4","3","-1","5","48490","6","0"
"920303","4","3","-1","5","46052","6","0"
"920304","4","3","-1","5","46895","7","0"
"920305","4","3","-1","5","41148","7","0"
"920306","4","3","-1","5","45229","7","0"
"920307","4","3","-1","5","47778","7","0"
"920308","4","3","-1","5","45278","8","0"
"920309","4","3","-1","5","45733","8","0"
"920310","4","3","-1","5","45845","8","0"
"920311","4","3","-1","5","46053","8","0"
"920312","4","3","-1","5","45762","9","0"
"920313","4","3","-1","5","45399","9","0"
"920314","4","3","-1","5","45403","9","0"
"920315","4","3","-1","5","47405","9","0"
"920316","4","3","-1","5","45670","10","0"
"920317","4","3","-1","5","46883","10","0"
"920318","4","3","-1","5","46892","10","0"
"920319","4","3","-1","5","41145","10","0"
"920320","4","4","-1","-1","43889","1","0"
"920321","4","4","-1","6","46205","1","0"
"920322","4","4","-1","6","49684","1","0"
"920323","4","4","-1","4","45684","1","0"
"920324","4","4","-1","6","46865","3","0"
"920325","4","4","-1","6","45759","3","0"
"920326","4","4","-1","6","45212","3","0"
"920327","4","4","-1","6","45760","3","0"
"920328","4","4","-1","1","39659","5","0"
"920329","4","4","-1","1","45658","5","0"
"920330","4","4","-1","1","46350","5","0"
"920331","4","4","-1","1","45683","5","0"
"920332","4","4","-1","6","45243","6","0"
"920333","4","4","-1","6","45299","6","0"
"920334","4","4","-1","6","45298","6","0"
"920335","4","4","-1","6","44866","6","0"
"920336","4","4","-1","1","45686","7","0"
"920337","4","4","-1","6","46951","7","0"
"920338","4","4","-1","6","46866","7","0"
"920339","4","4","-1","6","40487","7","0"
"920340","4","4","-1","1","45349","8","0"
"920341","4","4","-1","1","45324","8","0"
"920342","4","4","-1","1","45287","8","0"
"920343","4","4","-1","1","48472","8","0"
"920344","4","4","-1","1","45748","9","0"
"920345","4","4","-1","1","45741","9","0"
"920346","4","4","-1","1","45289","9","0"
"920347","4","4","-1","1","45347","9","0"
"920348","4","4","-1","1","46357","10","0"
"920349","4","4","-1","1","46949","10","0"
"920350","4","4","-1","1","46868","10","0"
"920351","4","4","-1","1","46487","10","0"
"920352","4","4","-1","6","46358","1","0"
"920353","4","4","-1","6","47759","1","0"
"920354","4","4","-1","1","49686","1","0"
"920355","4","4","-1","1","45843","1","0"
"920356","4","4","-1","1","45413","3","0"
"920357","4","4","-1","1","45407","3","0"
"920358","4","4","-1","1","45970","3","0"
"920359","4","4","-1","1","46012","3","0"
"920360","4","4","-1","1","47949","5","0"
"920361","4","4","-1","1","46867","5","0"
"920362","4","4","-1","1","45222","5","0"
"920363","4","4","-1","1","45311","5","0"
"920364","4","4","-1","6","42651","6","0"
"920365","4","4","-1","6","48477","6","0"
"920366","4","4","-1","6","46042","6","0"
"920367","4","4","-1","6","46039","6","0"
"920368","4","4","-1","1","45334","7","0"
"920369","4","4","-1","1","46488","7","0"
"920370","4","4","-1","6","48470","7","0"
"920371","4","4","-1","1","45220","7","0"
"920372","4","4","-1","1","46044","8","0"
"920373","4","4","-1","1","46041","8","0"
"920374","4","4","-1","1","45785","8","0"
"920375","4","4","-1","1","44966","8","0"
"920376","4","4","-1","6","45404","9","0"
"920377","4","4","-1","6","45402","9","0"
"920378","4","4","-1","6","47092","9","0"
"920379","4","4","-1","6","47416","9","0"
"920380","4","4","-1","1","45715","10","0"
"920381","4","4","-1","1","45728","10","0"
"920382","4","4","-1","1","46076","10","0"
