entry,名称,分组,定位,class,subclass,InventoryType,槽位,装等,白字属性,绿字归一值,绿字最终值,绿字最终随机系数,属性条数,模板原始属性总和,240归一属性总和,随机前后总属性比,插槽数量,插槽1颜色,插槽2颜色,插槽Bonus,伤害,攻速毫秒,DPS,野性攻击强度,护甲,格挡值,基准entry,基准名称,基准装等,基准class,基准subclass,基准InventoryType,预算回退方式,等价词条映射,外观entry,外观名称,displayid,外观品质,外观物品装等,外观需求等级,插槽3颜色
100000,影月谷之头冠,护甲,法系输出,4,1,1,头部,240,智力+70；耐力+101,暴击等级+82；急速等级+73；法术强度+144,暴击等级+78；急速等级+77；法术强度+139,暴击等级×0.9512；急速等级×1.0548；法术强度×0.9653,5,492,470,0.9894,3,混沌,蓝色,0,,,,,265,,49482,卓越发环,245,4,1,1,无,,42553,外观液化护目镜,44949,4,200,72,黄色
100001,纳克萨玛斯暗影头冠,护甲,法系输出,4,1,1,头部,240,智力+87；耐力+77,命中等级+61；暴击等级+82；法术强度+144,命中等级+59；暴击等级+88；法术强度+158,命中等级×0.9672；暴击等级×1.0732；法术强度×1.0972,5,473,451,1.0399,2,混沌,蓝色,0,,,,,265,,49481,灵风头冠,245,4,1,1,无,,34339,纯净圣光兜帽,50018,4,164,70,
100002,荣光·头巾,护甲,法系输出,4,1,1,头部,240,耐力+98；智力+98；精神+70,法术强度+125；命中等级+78,法术强度+123；命中等级+74,法术强度×0.9840；命中等级×0.9487,5,493,469,0.9872,3,混沌,黄色,0,,,,,265,,48095,萨布拉的凯旋头环,245,4,1,1,无,,34340,黑暗咒术之环,50019,4,164,70,蓝色
100003,面罩·星海,护甲,法系输出,4,1,1,头部,240,耐力+98；智力+98；精神+70,法术强度+125；命中等级+78,法术强度+116；命中等级+75,法术强度×0.9280；命中等级×0.9615,5,493,469,0.9744,3,混沌,蓝色,0,,,,,265,,48078,维伦的凯旋头环,245,4,1,1,无,,34405,奥术纯净头盔,50020,4,164,70,蓝色
100004,圣贤肩巾,护甲,法系输出,4,1,3,肩部,240,耐力+73；智力+73,法术强度+104；暴击等级+56；急速等级+64,法术强度+98；暴击等级+52；急速等级+61,法术强度×0.9423；暴击等级×0.9286；急速等级×0.9531,5,389,370,0.9649,1,黄色,,0,,,,,244,,47768,逐日者的凯旋衬肩,245,4,1,3,无,,34202,奇迹披肩,50013,4,159,70,
100005,烈日之肩巾,护甲,法系输出,4,1,3,肩部,240,耐力+73；智力+73,法术强度+104；暴击等级+56；命中等级+64,法术强度+106；暴击等级+58；命中等级+60,法术强度×1.0192；暴击等级×1.0357；命中等级×0.9375,5,389,370,1.0000,1,蓝色,,0,,,,,244,,47714,灾降衬肩,245,4,1,3,无,,34210,唤魔师护肩,50012,4,159,70,
100006,战争领主之肩巾,护甲,法系输出,4,1,3,肩部,240,耐力+73；智力+73；精神+64,法术强度+104；急速等级+57,法术强度+94；急速等级+56,法术强度×0.9038；急速等级×0.9825,5,389,371,0.9704,1,红色,,0,,,,,244,,47716,人性敬畏护肩,245,4,1,3,无,,34393,求知护肩,50014,4,159,70,
100007,御风者披肩,护甲,法系输出,4,1,3,肩部,240,耐力+73；智力+73,法术强度+104；暴击等级+56；命中等级+64,法术强度+111；暴击等级+61；命中等级+59,法术强度×1.0673；暴击等级×1.0893；命中等级×0.9219,5,389,370,1.0189,0,,,0,,,,,244,,47713,灾降护肩,245,4,1,3,无,,35006,野蛮角斗士的鬼纹护肩,50009,4,159,70,
100008,剃刀高地日蚀长袍,护甲,法系输出,4,1,20,胸部,240,耐力+98；智力+98,法术强度+125；急速等级+86；暴击等级+63,法术强度+115；急速等级+85；暴击等级+65,法术强度×0.9200；急速等级×0.9884；暴击等级×1.0317,5,493,470,0.9809,1,黄色,,0,,,,,326,,47604,梅林法袍,245,4,1,20,无,,34232,魔能征服者外衣,48299,4,159,70,
100009,咒纹衣袍,护甲,法系输出,4,1,20,胸部,240,耐力+98；智力+90,法术强度+134；命中等级+91；暴击等级+68,法术强度+134；命中等级+83；暴击等级+62,法术强度×1.0000；命中等级×0.9121；暴击等级×0.9118,5,505,481,0.9709,2,蓝色,红色,0,,,,,326,,48051,无眠法袍,245,4,1,20,无,,34364,阳炎之袍,48925,4,159,70,
