entry,名称,分组,定位,class,subclass,InventoryType,槽位,装等,白字属性,绿字归一值,绿字最终值,绿字最终随机系数,属性条数,模板原始属性总和,250归一属性总和,随机前后总属性比,插槽数量,插槽1颜色,插槽2颜色,插槽Bonus,伤害,攻速毫秒,DPS,护甲,格挡值,基准entry,基准名称,基准装等,基准class,基准subclass,基准InventoryType,预算回退方式,等价词条映射,外观entry,外观名称,displayid,外观品质,外观物品装等,外观需求等级
100593,嚎风峡湾静潮兜帽,护甲,法系输出,4,1,1,头部,250,耐力+108；智力+108,法术强度+139；急速等级+95；暴击等级+71,法术强度+152；急速等级+97；暴击等级+77,法术强度×1.0935；急速等级×1.0211；暴击等级×1.0845,5,526,521,1.0403,1,黄色,,0,,,,274,,51554,煞星沉眠法冠,251,4,1,1,无,,42553,外观液化护目镜,44949,4,200,72
100594,寒霜惊涛兜帽,护甲,法系输出,4,1,1,头部,250,智力+97；耐力+85,命中等级+67；暴击等级+90；法术强度+157,命中等级+72；暴击等级+86；法术强度+150,命中等级×1.0746；暴击等级×0.9556；法术强度×0.9554,5,473,496,0.9879,0,,,0,,,,273,,49481,灵风头冠,245,4,1,1,无,,34339,纯净圣光兜帽,50018,4,164,70
100595,凛冬兜帽,护甲,法系输出,4,1,1,头部,250,耐力+108；智力+108；精神+87,法术强度+148；急速等级+71,法术强度+149；急速等级+74,法术强度×1.0068；急速等级×1.0423,5,527,522,1.0077,0,,,0,,,,274,,50807,魔术师的龟裂兜帽,251,4,1,1,无,,34340,黑暗咒术之环,50019,4,164,70
100596,通灵学院头饰,护甲,法系输出,4,1,1,头部,250,耐力+108；智力+108；精神+78,法术强度+137；命中等级+86,法术强度+147；命中等级+87,法术强度×1.0730；命中等级×1.0116,5,493,517,1.0213,1,黄色,,0,,,,273,,48095,萨布拉的凯旋头环,245,4,1,1,无,,34405,奥术纯净头盔,50020,4,164,70
100597,圣殿骑士之衬肩,护甲,法系输出,4,1,3,肩部,250,耐力+80；智力+80,法术强度+115；暴击等级+70；急速等级+62,法术强度+125；暴击等级+72；急速等级+58,法术强度×1.0870；暴击等级×1.0286；急速等级×0.9355,5,412,407,1.0197,1,黄色,,0,,,,253,,50396,血色侍僧衬肩,251,4,1,3,无,,34202,奇迹披肩,50013,4,159,70
100598,肩巾·星环,护甲,法系输出,4,1,3,肩部,250,耐力+81；智力+81,法术强度+114；暴击等级+62；命中等级+70,法术强度+107；暴击等级+60；命中等级+69,法术强度×0.9386；暴击等级×0.9677；命中等级×0.9857,5,389,408,0.9755,0,,,0,,,,252,,47714,灾降衬肩,245,4,1,3,无,,34210,唤魔师护肩,50012,4,159,70
100599,降世肩巾,护甲,法系输出,4,1,3,肩部,250,耐力+80；智力+80,法术强度+105；急速等级+70；命中等级+54,法术强度+100；急速等级+67；命中等级+58,法术强度×0.9524；急速等级×0.9571；命中等级×1.0741,5,394,389,0.9897,1,红色,,0,,,,253,,51020,迟暮肩甲,251,4,1,3,无,,34393,求知护肩,50014,4,159,70
100600,肩巾·神恩,护甲,法系输出,4,1,3,肩部,250,耐力+81；智力+81,法术强度+114；暴击等级+62；命中等级+70,法术强度+125；暴击等级+63；命中等级+66,法术强度×1.0965；暴击等级×1.0161；命中等级×0.9429,5,389,408,1.0196,0,,,0,,,,252,,47713,灾降护肩,245,4,1,3,无,,35006,野蛮角斗士的鬼纹护肩,50009,4,159,70
100601,希利苏斯青铜法衣,护甲,法系输出,4,1,20,胸部,250,耐力+108；智力+100,法术强度+139；急速等级+94；暴击等级+75,法术强度+126；急速等级+101；暴击等级+76,法术强度×0.9065；急速等级×1.0745；暴击等级×1.0133,5,521,516,0.9903,1,黄色,,0,,,,337,,51790,碧空流落法袍,251,4,1,20,无,,34232,魔能征服者外衣,48299,4,159,70
100602,时空·外衣,护甲,法系输出,4,1,20,胸部,250,耐力+108；智力+100,法术强度+146；命中等级+101；暴击等级+75,法术强度+135；命中等级+104；暴击等级+75,法术强度×0.9247；命中等级×1.0297；暴击等级×1.0000,5,505,530,0.9849,1,蓝色,,0,,,,336,,48051,无眠法袍,245,4,1,20,无,,34364,阳炎之袍,48925,4,159,70
