entry,名称,分组,定位,class,subclass,InventoryType,槽位,装等,白字属性,绿字归一值,绿字最终值,绿字最终随机系数,属性条数,模板原始属性总和,260归一属性总和,随机前后总属性比,插槽数量,插槽1颜色,插槽2颜色,插槽Bonus,伤害,攻速毫秒,DPS,护甲,格挡值,基准entry,基准名称,基准装等,基准class,基准subclass,基准InventoryType,预算回退方式,等价词条映射,外观entry,外观名称,displayid,外观品质,外观物品装等,外观需求等级,插槽3颜色
101170,纳克萨玛斯之面罩,护甲,法系输出,4,1,1,头部,260,耐力+118；智力+118,法术强度+157；急速等级+104；暴击等级+81,法术强度+162；急速等级+102；暴击等级+73,法术强度×1.0318；急速等级×0.9808；暴击等级×0.9012,5,600,578,0.9913,2,混沌,红色,0,,,,284,,51837,煞星沉眠法冠,264,4,1,1,无,,42553,外观液化护目镜,44949,4,200,72,
101171,天穹头巾,护甲,法系输出,4,1,1,头部,260,智力+107；耐力+93,命中等级+74；暴击等级+99；法术强度+171,命中等级+77；暴击等级+98；法术强度+163,命中等级×1.0405；暴击等级×0.9899；法术强度×0.9532,5,473,544,0.9890,2,混沌,黄色,0,,,,281,,49481,灵风头冠,245,4,1,1,无,,34339,纯净圣光兜帽,50018,4,164,70,
101172,混沌之面罩,护甲,法系输出,4,1,1,头部,260,耐力+118；智力+118；精神+88,法术强度+154；命中等级+96,法术强度+144；命中等级+94,法术强度×0.9351；命中等级×0.9792,5,563,574,0.9791,2,混沌,黄色,0,,,,284,,48088,萨布拉的凯旋头环,258,4,1,1,无,,34340,黑暗咒术之环,50019,4,164,70,
101173,达拉然大地头饰,护甲,法系输出,4,1,1,头部,260,耐力+118；智力+118；精神+88,法术强度+154；命中等级+96,法术强度+163；命中等级+105,法术强度×1.0584；命中等级×1.0938,5,563,574,1.0314,2,混沌,红色,0,,,,284,,48085,维伦的凯旋头环,258,4,1,1,无,,34405,奥术纯净头盔,50020,4,164,70,
101174,仲裁者之披肩,护甲,法系输出,4,1,3,肩部,260,耐力+88；智力+88,法术强度+126；暴击等级+69；急速等级+77,法术强度+117；暴击等级+64；急速等级+73,法术强度×0.9286；暴击等级×0.9275；急速等级×0.9481,5,440,448,0.9598,1,黄色,,0,,,,262,,47767,逐日者的凯旋衬肩,258,4,1,3,无,,34202,奇迹披肩,50013,4,159,70,
101175,守望者肩饰,护甲,法系输出,4,1,3,肩部,260,耐力+89；智力+90,法术强度+124；暴击等级+68；命中等级+78,法术强度+113；暴击等级+63；命中等级+80,法术强度×0.9113；暴击等级×0.9265；命中等级×1.0256,5,389,449,0.9688,2,蓝色,红色,0,,,,259,,47714,灾降衬肩,245,4,1,3,无,,34210,唤魔师护肩,50012,4,159,70,
101176,星语者肩巾,护甲,法系输出,4,1,3,肩部,260,耐力+89；智力+88,法术强度+118；急速等级+77；命中等级+61,法术强度+129；急速等级+84；命中等级+65,法术强度×1.0932；急速等级×1.0909；命中等级×1.0656,5,450,433,1.0508,0,,,0,,,,262,,51859,迟暮肩甲,264,4,1,3,无,,34393,求知护肩,50014,4,159,70,
101177,龙鳞·肩饰,护甲,法系输出,4,1,3,肩部,260,耐力+89；智力+88,法术强度+118；急速等级+77；命中等级+61,法术强度+127；急速等级+78；命中等级+60,法术强度×1.0763；急速等级×1.0130；命中等级×0.9836,5,450,433,1.0208,2,黄色,蓝色,0,,,,262,,49991,仁慈杀戮肩甲,264,4,1,3,无,,35006,野蛮角斗士的鬼纹护肩,50009,4,159,70,
101178,虚空之长袍,护甲,法系输出,4,1,20,胸部,260,耐力+118；智力+110,法术强度+157；急速等级+104；暴击等级+84,法术强度+159；急速等级+104；暴击等级+86,法术强度×1.0127；急速等级×1.0000；暴击等级×1.0238,5,595,573,1.0070,2,黄色,蓝色,0,,,,350,,51813,苍蓝覆灭长袍,264,4,1,20,无,,34232,魔能征服者外衣,48299,4,159,70,
101179,霸主长袍,护甲,法系输出,4,1,20,胸部,260,耐力+118；智力+118,法术强度+157；暴击等级+104；命中等级+81,法术强度+146；暴击等级+103；命中等级+81,法术强度×0.9299；暴击等级×0.9904；命中等级×1.0000,5,600,578,0.9792,2,蓝色,红色,0,,,,350,,50418,噩梦乍醒法袍,264,4,1,20,无,,34364,阳炎之袍,48925,4,159,70,
101180,幽魂之地神恩法衣,护甲,法系输出,4,1,20,胸部,260,耐力+118；智力+118；精神+96,法术强度+163；急速等级+96,法术强度+174；急速等级+101,法术强度×1.0675；急速等级×1.0521,5,580,591,1.0271,2,红色,黄色,0,,,,349,,48090,萨布拉的凯旋法衣,258,4,1,20,无,,34365,永恒光芒长袍,48921,4,159,70,
101181,太阳之井法衣,护甲,法系输出,4,1,20,胸部,260,耐力+118；智力+118；精神+96,法术强度+163；命中等级+96,法术强度+150；命中等级+100,法术强度×0.9202；命中等级×1.0417,5,580,591,0.9848,1,黄色,,0,,,,349,,47794,古尔丹的凯旋法袍,258,4,1,20,无,,34399,幽怨之袍,48384,4,159,70,
101182,咒术束腰,护甲,法系输出,4,1,6,腰部,260,耐力+89；智力+88,法术强度+118；暴击等级+83；急速等级+52,法术强度+112；暴击等级+80；急速等级+51,法术强度×0.9492；暴击等级×0.9639；急速等级×0.9808,5,446,430,0.9767,2,黄色,蓝色,0,,,,197,,51862,烧灼之索,264,4,1,6,无,,35153,护卫者的鬼纹腰带,48683,4,159,70,
101183,霜狼酋长腰链,护甲,法系输出,4,1,6,腰部,260,耐力+88；智力+88,法术强度+116；暴击等级+83；命中等级+51,法术强度+115；暴击等级+81；命中等级+51,法术强度×0.9914；暴击等级×0.9759；命中等级×1.0000,5,417,426,0.9930,1,蓝色,,0,,,,196,,53118,卑鄙腰带,258,4,1,6,无,,35159,护卫者的月布腰带,48686,4,159,70,
101184,灼热腰带,护甲,法系输出,4,1,6,腰部,260,耐力+88；智力+88；精神+78,法术强度+116；急速等级+61,法术强度+110；急速等级+63,法术强度×0.9483；急速等级×1.0328,5,422,431,0.9907,0,,,0,,,,196,,47419,黑雾腰带,258,4,1,6,无,,35164,护卫者的丝质腰带,48689,4,159,70,
