定位,SpellID,效果类别,来源装等,来源物品ID,来源物品,应用数量
strength,60313,攻击强度叠加,213,40431,五色巨龙之怒,5
strength,60436,护甲穿透,213,40256,死亡之钟,6
strength,64792,攻击强度,226,45522,古神之血,6
strength,65020,护甲穿透,226,45931,雷神符石,6
strength,65025,暴击等级,226,46038,黑暗物质,6
agility,60313,攻击强度叠加,213,40431,五色巨龙之怒,10
agility,60436,护甲穿透,213,40256,死亡之钟,10
agility,64792,攻击强度,226,45522,古神之血,10
agility,65020,护甲穿透,226,45931,雷神符石,10
agility,65025,暴击等级,226,46038,黑暗物质,10
caster,60485,法术强度叠加,213,40432,龙魂图典,7
caster,60493,法术强度,213,40255,消逝的诅咒,7
caster,64742,法术强度,226,45490,潘多拉的恳求,7
healer,60485,法术强度叠加,213,40432,龙魂图典,5
healer,60529,治疗持续恢复,213,40258,谋划护符,4
healer,60537,法力恢复,213,40382,亡者之魂,4
healer,65002,法力回复,226,45929,西芙的记忆,5
tank,60313,攻击强度叠加,213,40431,五色巨龙之怒,5
tank,64764,减伤护盾,226,45507,将军之心,6
全部,,触发武器总数,,,,129
