"ID","ClassID","SubclassID","Sound_Override_Subclassid","Material","DisplayInfoID","InventoryType","SheatheType"
"102947","4","1","-1","7","44949","1","0"
"102948","4","1","-1","7","50018","1","0"
"102949","4","1","-1","7","50019","1","0"
"102950","4","1","-1","7","50020","1","0"
"102951","4","1","-1","7","50013","3","0"
"102952","4","1","-1","7","50012","3","0"
"102953","4","1","-1","7","50014","3","0"
"102954","4","1","-1","7","50009","3","0"
"102955","4","1","-1","7","48299","20","0"
"102956","4","1","-1","7","48925","20","0"
"102957","4","1","-1","7","48921","20","0"
"102958","4","1","-1","7","48384","20","0"
"102959","4","1","-1","7","48683","6","0"
"102960","4","1","-1","7","48686","6","0"
"102961","4","1","-1","7","48689","6","0"
"102962","4","1","-1","7","48356","6","0"
"102963","4","1","-1","7","48295","7","0"
"102964","4","1","-1","7","48296","7","0"
"102965","4","1","-1","7","48307","7","0"
"102966","4","1","-1","7","49952","7","0"
"102967","4","1","-1","7","48685","8","0"
"102968","4","1","-1","7","48688","8","0"
"102969","4","1","-1","7","48691","8","0"
"102970","4","1","-1","7","48367","8","0"
"102971","4","1","-1","7","48321","9","0"
"102972","4","1","-1","7","48349","9","0"
"102973","4","1","-1","7","48316","9","0"
"102974","4","1","-1","7","48684","9","0"
"102975","4","1","-1","7","48305","10","0"
"102976","4","1","-1","7","48306","10","0"
"102977","4","1","-1","7","48387","10","0"
"102978","4","1","-1","7","48923","10","0"
"102979","4","2","-1","8","45779","1","0"
"102980","4","2","-1","8","45780","1","0"
"102981","4","2","-1","8","48020","1","0"
"102982","4","2","-1","8","48019","1","0"
"102983","4","2","-1","8","47999","3","0"
"102984","4","2","-1","8","48005","3","0"
"102985","4","2","-1","8","48052","3","0"
"102986","4","2","-1","8","48591","3","0"
"102987","4","2","-1","8","48011","20","0"
"102988","4","2","-1","8","48012","20","0"
"102989","4","2","-1","8","48912","20","0"
"102990","4","2","-1","8","48916","20","0"
"102991","4","2","-1","8","48676","6","0"
"102992","4","2","-1","8","48677","6","0"
"102993","4","2","-1","8","48352","6","0"
"102994","4","2","-1","8","48357","6","0"
"102995","4","2","-1","8","47975","7","0"
"102996","4","2","-1","8","47995","7","0"
"102997","4","2","-1","8","48603","7","0"
"102998","4","2","-1","8","48597","7","0"
"102999","4","2","-1","8","48678","8","0"
"103000","4","2","-1","8","48679","8","0"
"103001","4","2","-1","8","48363","8","0"
"103002","4","2","-1","8","48362","8","0"
"103003","4","2","-1","8","48311","9","0"
"103004","4","2","-1","8","48322","9","0"
"103005","4","2","-1","8","48324","9","0"
"103006","4","2","-1","8","48681","9","0"
"103007","4","2","-1","8","48018","10","0"
"103008","4","2","-1","8","48917","10","0"
"103009","4","2","-1","8","48059","10","0"
"103010","4","2","-1","8","49966","10","0"
"103011","4","3","-1","5","53564","1","0"
"103012","4","3","-1","5","48025","1","0"
"103013","4","3","-1","5","48024","1","0"
"103014","4","3","-1","5","45778","1","0"
"103015","4","3","-1","5","47998","3","0"
"103016","4","3","-1","5","48004","3","0"
"103017","4","3","-1","5","48609","3","0"
"103018","4","3","-1","5","48616","3","0"
"103019","4","3","-1","5","48014","20","0"
"103020","4","3","-1","5","48013","20","0"
"103021","4","3","-1","5","48913","20","0"
"103022","4","3","-1","5","48918","20","0"
"103023","4","3","-1","5","48671","6","0"
"103024","4","3","-1","5","48674","6","0"
"103025","4","3","-1","5","48358","6","0"
"103026","4","3","-1","5","48353","6","0"
"103027","4","3","-1","5","47990","7","0"
