entry,名称,分组,定位,class,subclass,InventoryType,槽位,装等,白字属性,绿字理论归一值,触发属性预算系数,绿字触发附加前归一值,绿字最终值,绿字最终随机系数,属性条数,插槽数量,插槽1颜色,插槽2颜色,插槽Bonus,伤害,攻速毫秒,DPS,护甲,格挡值,触发法术ID,触发方式,触发效果类别,效果来源装等,效果来源物品ID,效果来源物品,基准entry,基准名称,基准装等,基准class,基准subclass,基准InventoryType,预算回退方式,等价词条映射,外观entry,外观名称,displayid,外观品质,外观物品装等,外观需求等级,插槽3颜色
102947,苍穹洞察王冠,护甲,法系输出,4,1,1,头部,280,耐力+143；智力+143,法术强度+191；暴击等级+126；急速等级+100,1.00（触发效果额外，不扣属性预算）,法术强度+191；暴击等级+126；急速等级+100,法术强度+179；暴击等级+136；急速等级+104,法术强度×0.9372；暴击等级×1.0794；急速等级×1.0400,5,3,混沌,黄色,0,,,,303,,,,,,,,51281,神圣血法罩帽,277,4,1,1,无,,42553,外观液化护目镜,44949,4,200,72,红色
102948,守望者镇压头饰,护甲,法系输出,4,1,1,头部,280,智力+131；耐力+113,命中等级+91；暴击等级+121；法术强度+203,1.00（触发效果额外，不扣属性预算）,命中等级+91；暴击等级+121；法术强度+203,命中等级+98；暴击等级+122；法术强度+198,命中等级×1.0769；暴击等级×1.0083；法术强度×0.9754,5,3,混沌,蓝色,0,,,,298,,,,,,,,49481,灵风头冠,245,4,1,1,无,,34339,纯净圣光兜帽,50018,4,164,70,红色
102949,失落荣光头冠,护甲,法系输出,4,1,1,头部,280,耐力+143；智力+145；精神+117,法术强度+196；急速等级+96,1.00（触发效果额外，不扣属性预算）,法术强度+196；急速等级+96,法术强度+212；急速等级+104,法术强度×1.0816；急速等级×1.0833,5,2,混沌,蓝色,0,,,,301,,,,,,,,51896,魔术师的龟裂兜帽,264,4,1,1,无,,34340,黑暗咒术之环,50019,4,164,70,
102950,灰熊丘陵之冠冕,护甲,法系输出,4,1,1,头部,280,耐力+143；智力+145；精神+107,法术强度+183；命中等级+117,1.00（触发效果额外，不扣属性预算）,法术强度+183；命中等级+117,法术强度+171；命中等级+108,法术强度×0.9344；命中等级×0.9231,5,3,混沌,黄色,0,,,,301,,,,,,,,48088,萨布拉的凯旋头环,258,4,1,1,无,,34405,奥术纯净头盔,50020,4,164,70,黄色
102951,奥杜尔星界肩卫,护甲,法系输出,4,1,3,肩部,280,耐力+106；智力+106,法术强度+154；暴击等级+93；急速等级+84,1.00（触发效果额外，不扣属性预算）,法术强度+154；暴击等级+93；急速等级+84,法术强度+154；暴击等级+102；急速等级+79,法术强度×1.0000；暴击等级×1.0968；急速等级×0.9405,5,1,黄色,,0,,,,279,,,,,,,,51284,神圣血法肩垫,277,4,1,3,无,,34202,奇迹披肩,50013,4,159,70,
102952,虚空肩胄,护甲,法系输出,4,1,3,肩部,280,耐力+107；智力+110,法术强度+147；暴击等级+83；命中等级+95,1.00（触发效果额外，不扣属性预算）,法术强度+147；暴击等级+83；命中等级+95,法术强度+138；暴击等级+87；命中等级+100,法术强度×0.9388；暴击等级×1.0482；命中等级×1.0526,5,1,蓝色,,0,,,,274,,,,,,,,47714,灾降衬肩,245,4,1,3,无,,34210,唤魔师护肩,50012,4,159,70,
102953,幻光肩铠,护甲,法系输出,4,1,3,肩部,280,耐力+106；智力+106,法术强度+144；急速等级+92；命中等级+76,1.00（触发效果额外，不扣属性预算）,法术强度+144；急速等级+92；命中等级+76,法术强度+136；急速等级+96；命中等级+75,法术强度×0.9444；急速等级×1.0435；命中等级×0.9868,5,0,,,0,,,,279,,,,,,,,50643,仁慈杀戮肩甲,277,4,1,3,无,,34393,求知护肩,50014,4,159,70,
102954,肩饰·寒星,护甲,法系输出,4,1,3,肩部,280,耐力+106；智力+106,法术强度+144；急速等级+92；命中等级+76,1.00（触发效果额外，不扣属性预算）,法术强度+144；急速等级+92；命中等级+76,法术强度+155；急速等级+95；命中等级+70,法术强度×1.0764；急速等级×1.0326；命中等级×0.9211,5,1,黄色,,0,,,,279,,,,,,,,50643,仁慈杀戮肩甲,277,4,1,3,无,,35006,野蛮角斗士的鬼纹护肩,50009,4,159,70,
102955,深空长袍,护甲,法系输出,4,1,20,胸部,280,耐力+143；智力+143,法术强度+200；暴击等级+109；急速等级+125,1.00（触发效果额外，不扣属性预算）,法术强度+200；暴击等级+109；急速等级+125,法术强度+192；暴击等级+103；急速等级+115,法术强度×0.9600；暴击等级×0.9450；急速等级×0.9200,5,1,黄色,,0,,,,372,,,,,,,,51283,神圣血法长袍,277,4,1,20,无,,34232,魔能征服者外衣,48299,4,159,70,
102956,时流破界外衣,护甲,法系输出,4,1,20,胸部,280,耐力+143；智力+143,法术强度+191；暴击等级+126；命中等级+101,1.00（触发效果额外，不扣属性预算）,法术强度+191；暴击等级+126；命中等级+101,法术强度+194；暴击等级+122；命中等级+99,法术强度×1.0157；暴击等级×0.9683；命中等级×0.9802,5,1,蓝色,,0,,,,372,,,,,,,,50629,噩梦乍醒法袍,277,4,1,20,无,,34364,阳炎之袍,48925,4,159,70,
