指标,分类,指数系数k,每13装等倍率,R²,等级点数,推荐公式
武器DPS,弓弩枪,0.01058689,1.14755,0.9824564335132389,14,目标值=基准值*EXP(k*(目标装等-基准装等))
武器DPS,投掷武器,0.00723926,1.09868,0.999721543175603,5,目标值=基准值*EXP(k*(目标装等-基准装等))
武器DPS,法系单手武器,0.00838706,1.1152,0.980187550183044,14,目标值=基准值*EXP(k*(目标装等-基准装等))
武器DPS,法系双手武器,0.00831458,1.11415,0.9893250064885417,13,目标值=基准值*EXP(k*(目标装等-基准装等))
武器DPS,物理单手武器,0.007401,1.10099,0.999554393494943,14,目标值=基准值*EXP(k*(目标装等-基准装等))
武器DPS,物理双手武器,0.00755587,1.10321,0.9973723777200239,14,目标值=基准值*EXP(k*(目标装等-基准装等))
武器DPS,魔杖,0.00754776,1.1031,0.9854444807759708,9,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,布甲/头部,0.00286856,1.038,0.9777719978250445,13,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,布甲/手部,0.00291177,1.03858,0.9823488400829834,13,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,布甲/披风,0.0029959,1.03972,0.9882296070127191,15,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,布甲/肩部,0.00289415,1.03834,0.983518236296493,12,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,布甲/脚部,0.01716851,1.25006,0.3757093050339033,11,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,布甲/腕部,0.002929,1.03881,0.9829732751329956,14,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,布甲/腰部,0.01120257,1.15677,0.35314702779760265,14,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,布甲/腿部,0.00289824,1.0384,0.9824929580654849,13,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,布甲/长袍,0.00288729,1.03825,0.9812336015551589,12,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,板甲/头部,0.00289461,1.03835,0.9796178349572174,12,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,板甲/手部,0.00290145,1.03844,0.9789839507822734,12,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,板甲/肩部,0.0028842,1.03821,0.983460990547358,11,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,板甲/胸甲,0.00289663,1.03837,0.9795653427537211,12,目标值=基准值*EXP(k*(目标装等-基准装等))
基础护甲,板甲/脚部,0.0029591,1.03922,0.9835845338515803,13,目标值=基准值*EXP(k*(目标装等-基准装等))
